SIC,Public,Client,Closed system
1,0,0,1
2,0,0,1
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,1,0
8,0,1,1
9,0,1,1
10,0,0,1
11,0,0,0
12,0,0,1
13,0,0,1
14,0,0,1
15,0,1,1
16,0,1,0
17,0,1,1
18,0,0,0
19,0,0,0
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,1,0,0
41,1,0,0
42,0,0,1
43,1,0,0
44,1,0,0
45,1,0,0
46,0,0,1
47,1,1,0
48,0,0,1
49,0,0,1
50,0,1,1
51,0,1,1
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,0,0
69,0,0,0
70,1,0,0
71,0,0,0
72,0,1,0
73,0,1,0
74,0,0,0
75,0,1,0
76,0,1,0
77,0,0,0
78,1,0,0
79,1,0,0
80,0,1,0
81,0,1,0
82,1,1,0
83,0,1,0
84,1,0,0
85,0,0,0
86,0,1,0
87,0,1,0
88,0,0,1
89,0,1,0
90,0,0,0
91,0,1,1
92,1,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,0,0
99,0,1,0